taxon_names,SRR5903323,SRR5903324,SRR5903325,SRR5903326,SRR5903327,SRR5903328,SRR5903329,SRR5903330,SRR5903336,SRR5903337,SRR5903338,SRR5903339,SRR5903342,SRR5903345,SRR5903346,SRR5903357,SRR5903365,SRR5903366,SRR5903367,SRR5903368,SRR5903369,SRR5903375,SRR5903376,SRR5903377,SRR5903378,SRR5903379,SRR5903380,SRR5903381,SRR5903382,SRR5903383,SRR5903384,SRR5903385,SRR5903386
g__Absiella,0,4.65E-05,0,3.90E-06,0.000355,0.0020315,0,0,0,0,0,8.00E-06,0,0.0004861,0.0075143,0,0,0,0,0,0,0,8.44E-05,0,0,0,0.001692,0.000346,0,0,0,0,0
g__Achromobacter,0.0002274,0.0001777,0.0002315,8.37E-05,6.66E-05,0.0001378,0.0003645,0.0002041,0.0001971,0.0002242,0.0004999,0.0002069,0.0002055,0.0002142,0,0.0005099,0.0001186,0.0003748,1.06E-05,0,0,0.0003057,0.0001627,0.0003142,9.85E-05,0.0002299,0.0001662,0.0001543,0.0001845,0.0002239,0.0001918,0.0002248,0.0003296
g__Acidaminococcus,0.0001331,0,0,0,0.0006624,0,0,0,0,0,0,0,0.0147307,0.0009438,0,0.0070152,0,0,0,0.0369413,0.0070906,0,0,0,0,0,0,0.0006948,0,0,0,0.0149262,0.0051495
g__Actinomyces,4.60E-05,0,0,0,0,0,8.30E-05,0.0003813,0,0,0,0,0,0,0,5.76E-05,0,0,0,0,0,0,2.70E-06,4.15E-05,0,0,0,0,0.0004228,9.30E-05,0,6.60E-06,5.22E-05
g__Adlercreutzia,0.0004208,0,0.0014857,4.30E-05,0.0001496,4.00E-06,0,0,0.0001879,1.70E-06,0.0003364,0,0.0002574,4.59E-05,6.01E-05,0.0002321,0,0,8.57E-05,0.0002942,0.0001289,0.0007017,0,0.0004696,5.39E-05,0.0013396,9.60E-06,0.0001136,0,0,0.000188,0.0002752,0.0001392
g__Aeromonas,0,0,0,0,0,0,0,0,0.0016068,0,0,0,0,0,0,0,0,0,0.0011054,0,0,0,0,0,0,0,0,0,0,0,0.0017903,0,0
g__Agathobaculum,0.0008017,0,0,0.0002807,0.0008375,0.0024032,0.0012398,0,0.0026421,0.0005905,0.0008022,0,0,0.0010769,0.0488291,0.000208,0,0.0008645,0.0011696,0,0.0002611,0,0,0.000807,0.0003121,0,0.002686,0.0008131,0,0.0012458,0.0024208,0,0.0001337
g__Akkermansia,0.0001489,0,0.020472,0,0.0015312,0.0007341,2.21E-05,0,0.0139708,0,0,0,0.0177216,0.0014466,0.0081973,0,0,0,0.0082133,0.2218208,4.06E-05,0.0195171,0,0,0,0.0214229,0.0006928,0.0005622,0,2.12E-05,0.0130135,0.0179148,0
g__Alistipes,0.0034694,0.0284609,0.0499832,0.0994154,0.0773155,0.0682643,0.0215698,0,0.17391,0.0729628,0,0.0180304,0.3312018,0.0472727,0.0223272,0.1787424,0,0.0140918,0.121559,0.1870309,0.058637,0.0297584,0.0294455,0,0.1002414,0.0416099,0.0761302,0.0820898,0,0.0239478,0.1634253,0.316544,0.128807
g__Anaeromassilibacillus,7.18E-05,8.00E-05,0,0,4.96E-05,0,0.0002915,0.0108006,3.34E-05,0,5.12E-05,4.18E-05,0.0003509,0,0,0.0001194,0.0140586,0.0002371,0,0.0002823,0.0002925,0,0.0001014,8.21E-05,0,0,0,2.91E-05,0.0117417,0.0003113,4.24E-05,0.0003529,9.43E-05
g__Anaerostipes,0.0051846,0.0188336,0.004413,0.0023183,0.0094869,0.0044768,0.0020296,0.0004426,0.0071833,0.0099239,0.0086128,0.0286258,0.0136943,0.0207346,0.0044881,0.0003729,0.0002705,0.0019202,0.0094003,0.0003569,0,0.0014651,0.0200792,0.0049968,0.0024183,0.0054253,0.0048286,0.0108838,0.0004007,0.001796,0.0077028,0.0149242,0.0002714
g__Anaerotignum,0,0,0,0,0.0002265,0,0.0042439,0.001691,0.0011968,0,0,0,0.0003708,6.36E-05,0,0.0003286,0.0016145,0.004327,0.0012699,9.54E-05,0.0004808,0,0,0,0,0,0,0.0002032,0.002194,0.0044521,0.0012908,0.0004267,0.000212
g__Anaerotruncus,0.0004242,0.0001406,0.0010151,0.0002209,5.39E-05,5.10E-06,0.0001487,0,0.0002663,0.0002624,0.0002535,0.0001076,0.0028991,0,8.00E-06,9.25E-05,0,0,0.0001875,0.0068436,0.0001385,0.0006482,0.0001775,0.000319,0.0002042,0.0010741,8.90E-06,5.13E-05,0,0.0001193,0.0002458,0.0031401,0.0001015
g__Asaccharobacter,0.0004097,0,0.0012439,2.74E-05,7.40E-05,4.20E-06,0,0,0.0002288,5.60E-06,0.0003639,0,0.0001998,2.44E-05,4.43E-05,0.0003098,0,0,8.36E-05,0.0002872,0.0002715,0.0006285,0,0.0004645,2.27E-05,0.0012063,1.01E-05,7.59E-05,0,0,0.0002134,0.0002333,0.000195
g__Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20E-06,0,0,0
g__Bacteroides,0.4203028,0.581886,0.7969049,0.7521546,0.4778485,0.7621929,0.292869,0.6725932,0.6473083,0.6868856,0.3355782,0.5921706,0.4067503,0.3520389,0.3319675,0.3732195,0.594717,0.3439972,0.7427432,0.229223,0.3179757,0.8458551,0.5940044,0.3826092,0.7491199,0.817321,0.7539863,0.4880153,0.6566846,0.2979732,0.6610387,0.4040975,0.4474974
g__Barnesiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Bifidobacterium,0,0.0010108,0,0,0,0.0005522,0.0001835,0.0027995,0.0001319,0,0,0.0009132,0.0022238,0,0.003361,7.29E-05,0.0019682,2.19E-05,4.18E-05,0.001613,9.08E-05,0,0.0016583,0,0,0,0.0007133,0,0.0028668,0.0001429,0.0001418,0.0022184,9.45E-05
g__Bilophila,0,0.0004571,0.0001079,0.0061746,0.0009008,0.0010861,0.0059786,0,0,0.0064748,0,0.0002215,0.0012799,0.0004388,0.0023504,0.0001039,0,0.0038321,0,0.0026774,0.0003333,3.21E-05,0.000524,0,0.0065575,0.0001377,0.001252,0.0008209,0,0.0055639,0,0.0013685,7.16E-05
g__Blautia,0.0058556,0.0111213,0.0142383,0.0106496,0.0119046,0.0425517,0.0109525,0.0434792,0.0088259,0.0311814,0.0090532,0.0134784,0.0088317,0.0266172,0.1076766,0.0385268,0.0643857,0.011933,0.0101236,0.0027633,0.0040968,0.0137415,0.01312,0.0056069,0.0110507,0.0142263,0.033145,0.0114946,0.053827,0.0104157,0.009036,0.0094829,0.024959
g__Butyricimonas,0,0,0,0,0.0010424,0.0004608,0.0100864,0,0,0,0,0,0,0.0001234,2.10E-05,0,0,0.0094501,0,0,0,0,0,0,0,0,0.0006461,0.0009623,0,0.011236,0,0,0
g__Catabacter,0,0,0.0001683,0,0,2.50E-06,0,0,0,0,0,0,6.86E-05,0,6.35E-05,0.0003176,0,0,0,0.0001858,0.0016022,4.76E-05,0,0,0,0.0001425,1.95E-05,0,0,0,0,5.33E-05,0.0004065
g__Christensenella,0,0,0.0007857,0,0,0,0,0,6.80E-06,0,0,0,0.0001676,0,0,0,0,0,0,0.000268,0,0.0004772,0,0,0,0.0006346,0,0,0,0,5.60E-06,0.0001492,0
g__Citrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cloacibacillus,0.000101,0,0,0,0,0,0.0019452,0,0,0,0,0,0.0137798,0,0,0.0108699,0,0.0012575,0,0.0717786,0.0527129,0,0,0,0,0,0,0,0,0.0018859,0,0.0156176,0.011908
g__Clostridium,0.0123795,0.0016041,0.0104709,0.002354,0.0042567,0.0026226,0.0031173,0.0274462,0.0014107,0.0046383,0.0169708,0.0009198,0.0011836,0.0050372,0.0094026,0.0037598,0.0400923,0.0020004,0.0009538,0.0035219,0.0062166,0.0091415,0.001408,0.0139085,0.0023667,0.010846,0.0027625,0.0054837,0.0291951,0.0034943,0.0013709,0.0012601,0.0034501
g__Collinsella,4.65E-05,0,0,0.0043157,0.0172863,0.0350547,0.0075996,0,0,0.0103706,0,0,0.0041458,0.0206634,0.1821092,0.0106176,0,0.0052529,0,0.0043775,0.0097418,0,0,0,0.0044338,0,0.041055,0.016422,0,0.008192,0,0.0047525,0.0113607
g__Coprobacillus,2.78E-05,0.000247,4.61E-05,0,0,3.09E-05,0,0.0002223,2.34E-05,0,6.80E-06,0.0002621,0.0010286,0,0.0004464,0.0026732,0.0003213,0,0,0.0042269,0.0064387,2.44E-05,0.0001947,1.47E-05,0,6.78E-05,2.55E-05,0,0.0003138,0,3.09E-05,0.000981,0.0027142
g__Coprobacter,0,0,0.0113296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135286,0,0,0,0.0114637,0,0,0,0,0,0,0
g__Coprococcus,0.002511,0.0067132,0,0.0020038,0.0042171,7.38E-05,0.0046723,0,0.0035465,0.0071999,0.0038984,0.005564,0,0.0098918,0.0001761,0.0046816,0,0.0038399,0.0019372,0,0.0012877,0,0.0055519,0.0024943,0.0021474,0,8.45E-05,0.0045788,0,0.004991,0.0034085,0,0.0034543
g__Desulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,0,0,0,0,0,0,1.12E-05,0,0,0,0,0,0,0,0,0,0,0,4.00E-06,0
g__Dialister,0,0,0,0,0,0,0.0151168,0.0016267,0.0007383,0,0,0,0,0,0,0,0.0013728,0.0219868,0.00068,0,0,0,0,0,0,3.20E-06,0,6.00E-06,0.0019854,0.0130119,0.0007569,0,0
g__Dorea,0.0074092,0.0047938,0.0028837,0.0032272,0.0049072,0.0130684,0.0069024,0.0032406,0.0006761,0.0088085,0.0113037,0.0053147,0.0054704,0.0102254,0.0315251,0.0171018,0.0043674,0.0064552,0.0006723,0.0021189,0.0141634,0.0023026,0.0050665,0.0072247,0.0032898,0.0029273,0.0132729,0.0049457,0.0036572,0.0062837,0.0008309,0.0056868,0.0127521
g__Eggerthella,0.0007892,0.0007755,0.0006825,0.0003672,2.68E-05,0.0020499,3.50E-06,0.0051351,0.0002278,0.0008249,0.0006359,0.0005506,0.0017573,0,0.0132898,0.0051255,0.0033449,0,0.0001066,0.0038599,0.0199086,0.0003079,0.0013176,0.0006782,0.0003924,0.0005506,0.0024355,2.31E-05,0.0073156,2.04E-05,0.0001819,0.0020779,0.0049936
g__Eisenbergiella,0.0002655,0.0008317,0.0041593,4.69E-05,5.84E-05,0.0002222,0.0015858,0.0097428,0.0010539,9.91E-05,0.0002054,0.0006537,0.003807,0,0.0017303,0.0010746,0.0105597,0.0012879,0.0008011,0.0088966,0.0023781,0.0033599,0.0007448,0.0002626,5.96E-05,0.0044173,0.0002473,4.65E-05,0.0120439,0.0010406,0.000971,0.0046337,0.0012031
g__Enterococcus,0.0003623,0,0,0,0,0,0,0,0,0,0.0009212,0,0.0002046,0,0,0,0,0,0,0.0001572,0,0,0,0.0005263,0,0,0,0,0,0,0,0.0001386,0
g__Erysipelatoclostridium,0.0003636,0.0012774,0.0065342,0,0.0007251,0.0030557,0.0011327,0.0112862,0.0001801,0,0.000658,0.0022049,0,0.0025907,0.0112269,0.0053938,0.0231118,0.0010823,0.0001673,0,0.0066084,0.0071062,0.0014318,0.0003526,0,0.001919,0.0030527,0.0007102,0.0122802,0.0010621,0.0001943,0,0.005981
g__Escherichia,0.1733549,2.42E-05,0.0001404,0,2.46E-05,3.31E-05,0.0018422,0.0071677,0,0,0.0977432,0,0.0023131,0,0.0006461,0.0003174,0.0094309,0.0009331,0,0.0018617,0.0051933,0,0.0001976,0.1770221,0,0.0002267,6.63E-05,3.60E-06,0.0085525,0.0013635,0,0.0025501,0.0037286
g__Eubacterium,0.070182,0.0222436,0.0040071,0.0044763,0.0374838,0.0041656,0.0120212,0.0551216,0.030323,0.0119046,0.0856992,0.0295968,0.0049172,0.0507147,0.0092251,0.0339071,0.0794103,0.0123921,0.0383215,0.0031997,0.0248801,0.0021328,0.0239647,0.0739034,0.0047645,0.002811,0.0042109,0.0353362,0.0486725,0.0112885,0.0307505,0.0051297,0.0276465
g__Faecalibacterium,0.0413993,0.0417205,0.0009296,0.0005803,0.0719593,0.0105547,0.0515388,0.0337589,0.0084239,0.0007071,0.0715585,0.0353929,0.0053548,0.0885995,0.0881573,0.005335,0.0308989,0.0369782,0.0040236,0.0103653,0.0064828,0.0002044,0.0416399,0.0530401,0.0006265,0.0007225,0.0110466,0.0772763,0.0344849,0.0521229,0.0084043,0.0060054,0.0047749
g__Flavonifractor,0.0013321,0.0036478,0.0035044,0.0014998,0.0005218,0.0036617,0.005438,0.0151415,0.0018731,0.0011917,0.0015556,0.0028373,0.0015558,0.0004041,0.0101468,0.0003523,0.0118217,0.0049412,0.0012719,0.0055132,0.0025353,0.0025307,0.0040332,0.0014321,0.0015149,0.0036674,0.0035048,0.0004475,0.0162207,0.0056963,0.0018581,0.0015687,0.0004701
g__Fusicatenibacter,0.0172782,0.0313177,6.33E-05,0.001406,0.0199023,0.0036833,0.004665,0,0.0024308,0.0028667,0.0207234,0.0254115,0.0046326,0.0286169,0.0025418,0.007707,0,0.0030503,0.0018289,0.0007156,0.0011641,0,0.03115,0.016528,0.001462,2.81E-05,0.0040919,0.0202453,0,0.0044306,0.0023947,0.0050629,0.0054526
g__Fusobacterium,0.0001382,0,4.40E-06,0,0,0,0.008116,0.0006067,9.41E-05,0,0.0001701,0,0,0,0,0,0.0006299,0.0094015,0,0,1.83E-05,0,0,0.0001569,0,1.47E-05,0,0,0.000914,0.0080489,0.0001351,0,0.0001541
g__Gemella,0,0,0,0,0,0,0.0006985,0.0008897,0,0,0,0,0,0,0,0,0.0009152,0.0002711,0,0,2.08E-05,0,0,0,0,0,0,0,0.0009534,0.0007341,0,0,5.27E-05
g__Gemmiger,0.0002403,0,0.0002997,0.0007169,0.001881,0,0.0003252,0,6.72E-05,0.0014423,0.0002603,0,0,0.001864,2.70E-06,0.0001664,0,0.0002435,0,0,0.0004561,0.0001093,0,0.0001804,0.0007752,0.0002289,0,0.0015465,0,0.0003421,5.93E-05,0,0.0001532
g__Gordonibacter,0.0003002,0.0001825,0.0005749,1.50E-05,0.0001474,0.000115,0,0.0002053,0.0002438,2.12E-05,0.0002292,0.0001214,0.0022372,7.55E-05,0.0013362,0.0007368,0.000131,0,8.55E-05,0.0048713,0.0029646,0.0002607,0.0003265,0.0002571,1.04E-05,0.0006023,0.0001618,0.0001305,0.0002942,0,0.0002082,0.0025694,0.0007783
g__Haemophilus,0.0010669,0.0002511,0,0,0,0,0,0.0023471,0.0001307,0,0.0013903,0.0001306,0,0,0,0,0.0018244,0,2.56E-05,0,0,0,0.0002177,0.0011091,0,0,0,0,0.0023671,0,0.0001216,0,7.70E-05
g__Harryflintia,0,0,0,2.13E-05,6.00E-06,0,3.68E-05,0,0,0,0,0,3.37E-05,0,0,0.000111,0,0,0,0,0.0001856,0,0,0,1.77E-05,0,0,0,0,0,0,4.73E-05,8.39E-05
g__Holdemania,0.0004859,0.0001035,9.11E-05,0.0002035,0.0006527,0.0002101,0.0001576,0,0.000156,0.0003696,0.0005342,7.90E-05,0,0.0004957,0.0003332,0.0003412,0,0,6.18E-05,0,0.0004985,2.59E-05,0.0001162,0.000584,0.0001928,0.0001409,0.0002346,0.0005576,0,0.0001351,0.0001062,0,0.0003103
g__Hungatella,0.0003107,1.97E-05,5.40E-05,0.0001397,6.30E-06,1.50E-05,0.0014882,0.007219,4.20E-06,0.0001631,0.0002888,5.10E-06,6.59E-05,0,0.000225,0.0003425,0.0082294,0.0013096,0,0.0002771,0.0207752,1.00E-05,4.06E-05,0.0003034,0.0001338,3.67E-05,1.62E-05,1.61E-05,0.0075452,0.0014924,4.80E-06,6.15E-05,0.0022919
g__Intestinibacter,0,0,0.0001463,0,0.0029003,0,0,0.0010074,0.0010019,0,0,0,0,0.0101028,0,0,0.0010039,0,0.0008039,0,0,0.0002327,0,0,0,0.0001961,0,0.0024252,0.0010183,0,0.001168,0,0
g__Intestinimonas,7.01E-05,0,0.0003237,1.18E-05,1.50E-06,0,0.0047197,0,0.0003043,0,3.42E-05,0,0.0003305,0,0,7.50E-06,0,0.0043257,0.0001839,0.0013242,2.40E-06,0.0002471,0,6.42E-05,1.98E-05,0.0003753,0,0,0,0.0055316,0.0002793,0.0003373,0
g__Klebsiella,0.0251792,0,0,0,0,0,0,0,0,0,0.0228469,0,0.0001129,0,0,0.0386963,0,0,0,0.0002747,0.1021308,0,0,0.0309143,0,0,0,0,0,0,0,0.0001179,0.0363497
g__Lachnoclostridium,0.0019407,0.0003825,0.0012286,0.0013401,0.0002859,0.0015043,0.0004681,0.0253817,0.0004318,0.0029737,0.0023591,0.0002135,0.0017823,0,0.0090582,0.0008316,0.030548,8.69E-05,0.0002534,0.0079131,0.0017831,0.0007234,0.0004525,0.0018951,0.0014313,0.0011269,0.0015252,0.0002499,0.0296013,0.0004348,0.0003945,0.0018326,0.00077
g__Lachnospira,0,0.0555077,0,0.0013263,0.0055816,0,0,0,0.0024975,0.0027851,0,0.0577158,0,0.0084273,0,0,0,0,0.0027242,0,0,0,0.048732,0,0.0012516,0,0,0.0072269,0,0,0.0029124,0,0
g__Lactobacillus,0.0019968,0.0004203,0,0,0.0002536,0,0,6.82E-05,0,0,0.0020479,0.0004472,0,0.0001278,0,0.000205,0,0,2.30E-05,0,0,0,0.000267,0.0019439,0,0,0,0.000295,4.30E-05,0,1.05E-05,0,0.0001214
g__Lactococcus,0,0,2.19E-05,0,0,0,0,0.001018,0,0,0,0,0,0,0,0,0.0005298,0,0,0,0,0,0,0,0,2.68E-05,0,0,0.0007219,0,0,0,0
g__Lawsonibacter,0.0008474,0.000122,0.0001636,2.14E-05,0.0005878,0.0001603,0.0007103,0,7.27E-05,1.92E-05,0.0010577,9.69E-05,0.0008758,0.0001965,0.0001173,0.0001808,0,0.0003881,2.50E-05,0.0028139,0.0005103,2.09E-05,0.0001882,0.000912,2.06E-05,9.55E-05,0.0001084,0.0005613,0,0.0006928,8.65E-05,0.0009394,0.0001536
g__Megamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Methanobrevibacter,0.0002122,0,0,0,0.0001014,0,0.0118171,0,0,0,0,0,0.0262847,8.14E-05,0,0.0040231,0,0.0188143,0,0.0526249,0.0039098,0,0,0,0,0,0,3.61E-05,0,0.0131572,0,0.0336569,0.0064366
g__Monoglobus,0,0,0,4.77E-05,4.80E-05,0,5.63E-05,0.0040508,0.0003319,0.0001027,0,0,0,9.90E-06,0,0.0005887,0.005759,0,0.0003076,0,0.0006425,0,0,0,4.87E-05,0,0,4.04E-05,0.0031,6.32E-05,0.0003446,0,0.0003902
g__Odoribacter,0.0104125,0.008811,0.0068231,0,0.0073418,0,0.0449119,0,0,0,0.0074195,0.0069614,0.0119971,0.0044587,0,0.0201992,0,0.0408733,0,0.0052773,0.0053756,0.0051151,0.0089857,0.0090389,0,0.0056833,0,0.0074631,0,0.0509138,0,0.0113841,0.0145558
g__Oscillibacter,0.0008121,0,0,0.0001575,0.003803,0.0011595,0.0213615,0,0,9.55E-05,0.0006027,0,0.0066196,0.0018907,0.000939,0.0749888,0,0.0183075,0,0.0088914,0.1009122,0,0,0.0004848,0.000166,0,0.0012065,0.0037364,0,0.02474,0,0.0068707,0.0659951
g__Oxalobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Parabacteroides,0.0493226,0,0.0147974,0.0226759,0.0381181,0.0152868,0.0728507,0,0,0.0183848,0.0375095,0,0.0655962,0.0284267,0.0059316,0.0519842,0,0.0652598,0,0.0668567,0.0381299,0.0154265,0,0.0458019,0.0224047,0.0200806,0.0147009,0.0369731,0,0.0624782,0,0.0647963,0.0484768
g__Paraprevotella,0,0,0,0,0.0055227,0,0,0,0,0,0,0,0,0.0057333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061454,0,0,0,0,0
g__Parasutterella,0,0.001064,0.000151,0.0327631,0,0,0,0,0,0.0328302,0,0.0011185,0,0,0,0,0,0,0,0,0,2.43E-05,0.0010525,0,0.0324497,0.0002133,0,0,0,0,0,0,0
g__Parvimonas,0,0,7.80E-06,0,2.94E-05,0,0.0103091,0,0,0,0,0,0.0001093,8.90E-06,0,3.66E-05,0,0.0155664,0,0.0001892,0.0004553,0,0,0,0,3.00E-06,0,4.33E-05,0,0.0133667,0,0.000133,0.0008942
g__Peptostreptococcus,0,0,3.50E-05,0,0,0,0.0184853,0,0,0,0,0,0,0,0,0,0,0.0344501,0,0,2.62E-05,2.69E-05,0,0,0,4.47E-05,0,0,0,0.0157505,0,0,7.59E-05
g__Phascolarctobacterium,0,0.0028652,0.0015548,0.0099763,0.0027803,0.0048778,6.00E-05,0,0,0.0268599,0,0.0061629,0.0019411,0.0032772,0.0144676,0.0008678,0,5.60E-05,0,0.0050887,0.0016932,0.0006806,0.0048342,0,0.0100834,0.0015663,0.0046137,0.0041385,0,0.0001086,0,0.0018304,0.0005142
g__Porphyromonas,0,0,0,0,0.0004741,0,0.0077945,0,0,0,0,0,0,0.0010828,0,9.00E-07,0,0.0087161,0,0,2.52E-05,0,0,0,0,0,0,0.0003082,0,0.0073675,0,0,0
g__Prevotella,0,0,0,0,0,0,0.222761,0.000233,0,0,0,0,0,0,0,6.90E-06,0,0.2000403,0,0,0.0003919,0,0,3.40E-06,0,0,0,0,0.0002957,0.2188246,0,0,0
g__Pseudomonas,0.0003648,0.0003597,0.0002183,0.0001334,0.0001541,0.0001041,0.003024,0.0004404,0.0001168,0.0003765,0.0005276,0.0002581,0.0001901,0.0006668,0,4.87E-05,0.0002255,0.0010434,0.0001137,0,0.0001472,0.0004918,0.0001723,0.000178,7.50E-05,0.0003803,0.0001294,0.0002888,0.000449,0.002072,0.0001235,0.0002026,0.0016454
g__Roseburia,0.0999366,0.0774048,0.0150904,0.0086395,0.0615453,0.0011876,0.0267694,0.0220033,0.0621775,0.0082708,0.1793117,0.0649107,0.0017406,0.1265942,0.0011343,0.0021856,0.0153601,0.020541,0.0268558,0.0003535,0.0011012,0.005372,0.0681575,0.1178366,0.0089782,0.0065444,0.0028396,0.0641305,0.0129091,0.0248498,0.0593917,0.0026146,0.0015992
g__Ruminococcus,4.68E-05,0,0,0,0.0163172,1.23E-05,0.0039899,0.0039366,0,0,0,0,0.006886,0.0298519,0,0,0.00645,0.0038961,0,0.0045832,0,0,0,0,0,0,0,0.0140598,0.0041754,0.0043651,0,0.0072134,0
g__Ruthenibacterium,0.0007464,0.0007889,0.0048231,0.001398,0.0012145,0.0006682,0.0054699,0.0024811,0.0004466,0.0010587,0.0008714,0.0008319,0.0028937,0.0014606,0.0066539,0.0047007,0.002068,0.004812,0.0003129,0.0073362,0.0066955,0.0024593,0.0012544,0.0007388,0.0014208,0.0035243,0.0006986,0.0010298,0.003032,0.0059932,0.0004135,0.0028866,0.0084581
g__Sellimonas,0,0,0.000484,0,0,0,0,0,8.61E-05,0,0,0,0,0,0,0,0,0,1.96E-05,0,0,0.0003324,0,0,0,0.0005064,0,0,0,0,8.14E-05,0,0
g__Streptococcus,0.0150364,0.0001012,0.0002379,5.88E-05,0.0075648,0.0023941,0.0019855,0.0174857,0.0002028,4.60E-06,0.0266697,7.59E-05,0.0001576,0.0161622,0.008709,0.0009867,0.0269148,0.001385,3.00E-05,4.55E-05,8.36E-05,3.91E-05,0.000264,0.016158,6.19E-05,0.0002789,0.0019837,0.0065813,0.0199994,0.0018692,0.0001993,0.0001741,0.0009008
g__Sutterella,0,0,0,0,0,6.80E-06,8.19E-05,0,0,0,0,0,0,0,1.64E-05,0,0,0,0,0,0,0,0,0,0,0,3.38E-05,0,0,7.25E-05,0,0,0
g__Turicibacter,0,0,0,0,0,0,0,0.0002404,0,0,0,0,0,0,0,0,0.0002477,0,0,0,0,0,0,0,0,0,0,0,0.0002577,0,0,0,0
g__Veillonella,0.0008102,5.22E-05,0,0,0,0,0,0.0015153,0.0044611,0,0.0016844,4.15E-05,0,0,0,4.58E-05,0.0014368,0,0.0034181,0,0,0,5.07E-05,0.0012315,0,0,1.07E-05,0,0.0020963,0,0.004469,0,3.72E-05
